cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,autonomia_financiera,bloque_educativo
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,1300,2,no,2,no,2,no,2,no,1,345,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,0.0,1,B1,6,soltera,3,1,sí,1200,1,sí,2,no,2,no,2,no,1,267,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,B2,4,viuda,3,2,no,0,1,sí,2,no,2,no,1,sí,0,89,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,2,no,0,2,no,2,no,2,no,2,no,0,74,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,1,sí,5000,1,sí,2,no,2,no,2,no,0,74,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,1,sí,2,no,1,sí,1,sí,0,74,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,1,sí,800,2,no,2,no,2,no,2,no,1,74,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,32.0,4,B2,4,viuda,2,1,sí,999998,1,sí,1,sí,2,no,1,sí,0,85,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,1,sí,5000,1,sí,2,no,2,no,1,sí,0,85,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,1,sí,2000,1,sí,2,no,2,no,1,sí,0,171,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,2,1,sí,150,2,no,2,no,2,no,2,no,0,171,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,1,sí,3000,1,sí,2,no,2,no,2,no,0,85,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,1,sí,2,no,2,no,2,no,1,151,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,1.0,4,B1,3,divorciada,2,1,sí,999998,2,no,2,no,2,no,2,no,0,151,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,40.0,3,B2,4,viuda,2,2,no,0,2,no,1,sí,2,no,2,no,0,75,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,B2,4,viuda,2,2,no,0,2,no,2,no,2,no,2,no,0,75,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,1,sí,12000,1,sí,2,no,1,sí,1,sí,1,75,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,2,no,2,no,2,no,1,sí,0,128,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,8800,1,sí,2,no,2,no,2,no,0,64,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,4800,1,sí,2,no,2,no,2,no,0,128,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,2,2,no,0,1,sí,2,no,2,no,2,no,0,128,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,1.0,1,B1,6,soltera,2,1,sí,999998,2,no,2,no,2,no,2,no,1,143,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,6.0,3,B2,4,viuda,2,2,no,0,1,sí,1,sí,1,sí,2,no,0,143,alta,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,9000,1,sí,2,no,2,no,1,sí,0,214,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,20.0,3,B2,4,viuda,2,2,no,0,2,no,2,no,2,no,2,no,0,71,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,2,no,0,1,sí,1,sí,2,no,2,no,0,143,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,1,sí,0,2,no,1,sí,2,no,1,sí,0,403,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,4,A1,5,casada,3,2,no,0,2,no,2,no,1,sí,1,sí,1,242,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,25.0,3,B2,4,viuda,3,2,no,0,1,sí,2,no,2,no,1,sí,1,81,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,4,A1,5,casada,3,1,sí,5000,1,sí,2,no,2,no,2,no,0,77,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,72,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,1.0,3,B2,4,viuda,3,1,sí,4000,1,sí,2,no,2,no,1,sí,0,143,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,0,2,no,2,no,2,no,1,sí,0,143,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,5000,1,sí,2,no,2,no,1,sí,1,143,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,2,no,2,no,2,no,2,no,0,148,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,1,sí,7200,2,no,2,no,2,no,2,no,0,74,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,2,no,2,no,2,no,2,no,0,148,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,2,no,2,no,2,no,1,sí,0,74,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,1,sí,1,sí,2,no,2,no,0,77,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,1,sí,2,no,2,no,1,sí,0,77,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,5000,1,sí,2,no,2,no,1,sí,0,230,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,3.0,3,A2,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,77,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,1.0,3,B2,4,viuda,3,2,no,0,1,sí,2,no,2,no,1,sí,0,84,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,15000,1,sí,2,no,2,no,1,sí,0,168,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,4,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,168,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,2,no,2,no,1,sí,0,84,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,1400,1,sí,2,no,2,no,1,sí,0,185,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,2000,1,sí,2,no,2,no,1,sí,1,92,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,12.0,3,B1,3,divorciada,3,1,sí,1000,2,no,2,no,2,no,2,no,1,92,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,3,B2,4,viuda,3,1,sí,700,1,sí,2,no,1,sí,1,sí,0,277,alta,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,4000,2,no,2,no,2,no,1,sí,0,232,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,2200,1,sí,2,no,1,sí,1,sí,0,155,alta,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,2000,1,sí,2,no,2,no,1,sí,0,155,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,20000,1,sí,2,no,1,sí,1,sí,0,106,alta,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,4,viuda,3,1,sí,15000,1,sí,2,no,2,no,1,sí,0,106,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,3,2,no,0,2,no,2,no,2,no,1,sí,0,106,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,1,sí,1,sí,2,no,2,no,0,73,media,superior_o_posgrado
