cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,anio_encuesta
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,12000.0,1,Sí,2,No,2,No,2,No,0,179,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,2,No,,2,No,2,No,2,No,2,No,0,179,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,3,1,Sí,20000.0,1,Sí,2,No,2,No,2,No,0,179,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,2,No,,2,No,2,No,2,No,2,No,0,179,2021
27,TABASCO,4,CENTRO,8.0,4.0,B2,4,Viuda,3,1,Sí,3000.0,1,Sí,2,No,2,No,1,Sí,1,347,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,1,Sí,2000.0,1,Sí,1,Sí,2,No,1,Sí,0,173,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,999998.0,2,No,2,No,2,No,1,Sí,0,520,2021
27,TABASCO,4,CENTRO,12.0,1.0,B2,4,Viuda,3,1,Sí,800.0,2,No,2,No,2,No,2,No,0,346,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,2,No,,2,No,2,No,2,No,1,Sí,0,173,2021
27,TABASCO,4,CENTRO,15.0,3.0,B1,3,Divorciada,3,2,No,,2,No,2,No,2,No,1,Sí,0,173,2021
27,TABASCO,4,CENTRO,20.0,3.0,B2,4,Viuda,3,2,No,,2,No,1,Sí,2,No,2,No,0,173,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,3,1,Sí,1000.0,2,No,2,No,2,No,2,No,0,346,2021
27,TABASCO,4,CENTRO,1.0,1.0,B1,2,Separada,3,1,Sí,10000.0,2,No,2,No,2,No,1,Sí,0,171,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,1,Sí,0,171,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,999998.0,2,No,2,No,2,No,1,Sí,1,171,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,8000.0,1,Sí,2,No,2,No,2,No,1,171,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,1,Sí,0,211,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,1,Sí,0,211,2021
27,TABASCO,4,CENTRO,0.0,1.0,B2,4,Viuda,3,1,Sí,150.0,2,No,2,No,2,No,2,No,1,632,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,3,1,Sí,0.0,2,No,2,No,2,No,2,No,0,211,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,3,2,No,,1,Sí,1,Sí,2,No,1,Sí,0,211,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,4,1,Sí,5000.0,1,Sí,2,No,1,Sí,1,Sí,0,167,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,4,1,Sí,16000.0,1,Sí,2,No,2,No,2,No,0,167,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,4,1,Sí,999998.0,1,Sí,2,No,2,No,1,Sí,0,502,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,4,2,No,,2,No,2,No,1,Sí,1,Sí,1,167,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,4,1,Sí,60000.0,2,No,2,No,2,No,1,Sí,1,622,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,4,1,Sí,15000.0,2,No,2,No,2,No,1,Sí,0,207,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,4,1,Sí,2500.0,1,Sí,2,No,2,No,2,No,0,414,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,4,1,Sí,2000.0,2,No,2,No,2,No,2,No,0,207,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,2,2,No,,2,No,2,No,2,No,1,Sí,0,329,2021
27,TABASCO,4,CENTRO,30.0,1.0,B1,2,Separada,2,2,No,,2,No,2,No,2,No,1,Sí,1,165,2021
27,TABASCO,4,CENTRO,25.0,1.0,B1,2,Separada,2,2,No,,2,No,2,No,2,No,1,Sí,1,398,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,14000.0,1,Sí,2,No,1,Sí,1,Sí,0,199,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,300.0,2,No,2,No,2,No,1,Sí,0,199,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,1,199,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,1,Sí,15000.0,2,No,2,No,2,No,2,No,0,199,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,5000.0,1,Sí,2,No,2,No,1,Sí,0,131,2021
27,TABASCO,4,CENTRO,26.0,1.0,B2,4,Viuda,2,1,Sí,2700.0,1,Sí,2,No,2,No,2,No,0,131,2021
27,TABASCO,4,CENTRO,5.0,4.0,B1,3,Divorciada,2,1,Sí,2000.0,2,No,2,No,2,No,2,No,1,131,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,3000.0,1,Sí,2,No,2,No,2,No,1,262,2021
27,TABASCO,4,CENTRO,0.0,1.0,A2,1,Unión libre,2,1,Sí,2000.0,1,Sí,2,No,2,No,2,No,0,294,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,1,Sí,1,Sí,2,No,1,Sí,0,147,2021
27,TABASCO,4,CENTRO,24.0,1.0,B1,2,Separada,2,1,Sí,2150.0,2,No,2,No,2,No,1,Sí,0,294,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,153,2021
27,TABASCO,4,CENTRO,,,C2,6,Soltera,2,2,No,,2,No,2,No,2,No,1,Sí,0,458,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,3200.0,1,Sí,2,No,1,Sí,2,No,0,305,2021
27,TABASCO,4,CENTRO,6.0,4.0,B2,4,Viuda,2,2,No,,2,No,2,No,2,No,1,Sí,0,305,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,1,Sí,2,No,2,No,1,Sí,0,145,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,2,No,0,145,2021
27,TABASCO,4,CENTRO,9.0,3.0,B2,4,Viuda,2,2,No,,2,No,2,No,2,No,1,Sí,0,435,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,145,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,3,1,Sí,300.0,2,No,2,No,2,No,1,Sí,0,122,2021
27,TABASCO,4,CENTRO,14.0,3.0,B1,3,Divorciada,3,2,No,,1,Sí,2,No,2,No,1,Sí,0,122,2021
27,TABASCO,4,CENTRO,30.0,4.0,B1,3,Divorciada,3,1,Sí,999998.0,2,No,2,No,2,No,2,No,0,122,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,1200.0,1,Sí,2,No,2,No,1,Sí,0,184,2021
27,TABASCO,4,CENTRO,,,C1,6,Soltera,2,1,Sí,9600.0,1,Sí,2,No,2,No,1,Sí,0,369,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,1,Sí,1050.0,1,Sí,2,No,2,No,2,No,0,184,2021
27,TABASCO,4,CENTRO,,4.0,A1,5,Casada,2,2,No,,1,Sí,2,No,2,No,1,Sí,0,184,2021
27,TABASCO,4,CENTRO,,1.0,A1,1,Unión libre,2,2,No,,2,No,2,No,2,No,1,Sí,0,119,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,2,No,,2,No,2,No,2,No,1,Sí,0,119,2021
27,TABASCO,4,CENTRO,,,C1,2,Separada,2,2,No,,1,Sí,2,No,1,Sí,1,Sí,0,238,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,400.0,2,No,2,No,2,No,1,Sí,1,308,2021
27,TABASCO,4,CENTRO,,3.0,A1,5,Casada,2,1,Sí,5000.0,1,Sí,2,No,2,No,1,Sí,0,303,2021
